Country/Region,Lat,Long,Total Cases,Total Deaths,Total Recoveries,Mortality Rate (%),Recovery Rate (%)
Afghanistan,33.93911,67.709953,4487922,142063,2758193,3.165451627724368,61.45813140246199
Albania,41.1533,20.1683,825474,24325,467513,2.946791782660629,56.63570263872636
Algeria,28.0339,1.6596,4044727,177624,2761970,4.391495396351843,68.2856964141214
Andorra,42.5063,1.5218,178893,8959,134071,5.008021554784145,74.94479940523105
Angola,-11.2027,17.8739,207951,8545,76451,4.1091410957389005,36.76394919957106
Antigua and Barbuda,17.0608,-61.7964,10820,527,8353,4.870609981515712,77.1996303142329
Argentina,-38.4161,-63.6167,33514520,707790,22658806,2.1118906074143386,67.60892293847563
Armenia,40.0691,45.0382,4526165,84957,3370131,1.8770195076847618,74.45886307724089
Australia,-32.106275000000004,141.35548749999998,2592530,51413,1980691,1.9831207353434677,76.39992594106914
Austria,47.5162,14.5501,4005492,121207,3282411,3.0260202741635736,81.94776072452524
Azerbaijan,40.1431,47.5769,3562701,49760,2932431,1.3966931269281369,82.30920865938512
Bahamas,25.025885,-78.035889,157340,4342,64825,2.759628829286895,41.2005847209864
Bahrain,26.0275,50.55,5364176,18009,4639343,0.3357272393746961,86.48752389929041
Bangladesh,23.685,90.3563,29218764,396450,17243641,1.356833574479742,59.015641455607096
Barbados,13.1939,-59.5432,21647,1207,16864,5.575830369104264,77.90455952325958
Belarus,53.7098,27.9534,9261547,74153,7419947,0.800654577469617,80.11563294987327
Belgium,50.8333,4.469936,12162757,1628464,2860397,13.388938050805422,23.517669554690602
Belize,17.1899,-88.4976,66193,1026,26280,1.550012841236989,39.702083301859716
Benin,9.3077,2.3158,207173,3716,140030,1.7936700245688386,67.59085402055287
Bhutan,27.5142,90.4336,17817,0,12211,0.0,68.53566818207331
Bolivia,-16.2902,-63.5887,9647135,444533,4545584,4.60792763862017,47.11848647292693
Bosnia and Herzegovina,43.9159,17.6791,1713667,56087,1078832,3.2729229190968843,62.95458802672864
Botswana,-22.3285,24.6849,135007,592,25492,0.43849578170020814,18.88198389713126
Brazil,-14.235,-51.9253,344491052,11939562,267838682,3.4658554788819305,77.74909694896806
Brunei,4.5353,114.7277,27795,427,24601,1.5362475265335491,88.50872459075373
Bulgaria,42.7339,25.4858,1494039,58463,913364,3.9130839288666492,61.13387936994952
Burkina Faso,12.2383,-1.5616,194819,9278,147783,4.762369173437909,75.8565642981434
Burma,21.9162,95.956,220768,4046,74569,1.8326931439339036,33.77708725902305
Burundi,-3.3731,29.9189,40991,173,31762,0.422043863287063,77.48530165158205
Cabo Verde,16.5388,-23.0418,351988,3556,258491,1.0102617134675045,73.43744673113856
Cambodia,11.55,104.9167,34980,0,30638,0.0,87.5871926815323
Cameroon,3.848,11.5021,2132159,49687,1755817,2.3303609158604024,82.34925256512295
Canada,45.61112857142856,-79.96359285714286,18301412,1313229,13355012,7.175561098782978,72.97257719786867
Central African Republic,6.6111,20.9394,514271,6104,161886,1.1869228480703753,31.47873397488873
Chad,15.4542,18.7322,133467,10768,108612,8.067911918301903,81.37741913731485
Chile,-35.6751,-71.543,44360745,1070889,38917156,2.4140464728444035,87.72881519460505
China,32.887645454545456,111.78599090909094,20132884,988225,17338111,4.908511865463487,86.11836734369503
Colombia,4.5709,-74.2973,46062161,1491650,32246465,3.2383413361783004,70.00640938231274
Comoros,-11.6455,43.3333,44722,806,38446,1.80224498009928,85.96663834354456
Congo (Brazzaville),-0.228,15.8277,387392,7973,193393,2.058122005617049,49.92178465223856
Congo (Kinshasa),-4.0383,21.7587,1095469,27593,737710,2.5188298345274944,67.34193299856044
Costa Rica,9.7489,-83.7534,3231829,33143,1204399,1.02551836746313,37.26679227149704
Cote d'Ivoire,7.54,-5.5471,1814400,12316,1375617,0.6787918871252204,75.8166335978836
Croatia,45.1,15.2,986037,23600,775623,2.3934193138797024,78.66063849531001
Cuba,21.521757,-77.78116700000002,485911,14804,399121,3.046648460314749,82.13870441294804
Cyprus,35.1264,33.4299,203817,3346,137410,1.6416687518705504,67.41832133727806
Czechia,49.8175,15.473,3295215,63651,1934491,1.9316190294108275,58.706063185558456
Denmark,63.287800000000004,-13.338100000000003,2570429,102657,2111660,3.9937691334792755,82.15204543677339
Diamond Princess,0.0,0.0,163764,2645,128859,1.615129088200093,78.68579174910236
Djibouti,11.8251,42.5903,694963,7029,606417,1.0114207518961442,87.2588900416281
Dominica,15.415,-61.371,3487,0,2901,0.0,83.19472325781474
Dominican Republic,18.7357,-70.1627,8764291,174321,5506304,1.9889914654819196,62.82657661640856
Ecuador,-1.8312,-78.1834,12091760,886436,7669396,7.330909644253607,63.42663102807201
Egypt,26.820553000000004,30.802498,10753646,547866,5941726,5.094699974315688,55.253129961689275
El Salvador,13.7942,-88.8965,2085821,57243,1244473,2.7443869823920655,59.66346105442414
Equatorial Guinea,1.6508,10.2679,478169,7711,270653,1.6126097676762818,56.601954539085554
Eritrea,15.1794,39.7823,33478,0,24465,0.0,73.07784216500389
Estonia,58.5953,25.0136,384125,11120,281521,2.894890986007159,73.28890335177351
Eswatini,-26.5225,31.4659,353648,6367,245667,1.8003777767723839,69.46653169253042
Ethiopia,9.145,40.4897,3539449,57186,1377661,1.6156752082033106,38.92303576065088
Fiji,-17.7134,178.065,4238,101,3084,2.383199622463426,72.7701746106654
Finland,61.92411,25.748151,1268979,52841,1035472,4.16405630038007,81.59882866461935
France,8.30885409090909,5.458262363636366,44793084,5111366,13078609,11.41106068963682,29.197831075886626
Gabon,-0.8037,11.6094,889989,6010,608928,0.6752892451479737,68.41972204150838
Gambia,13.4432,-15.3101,171984,5329,70622,3.098544050609359,41.063122150897755
Georgia,42.3154,43.3569,236536,2626,151090,1.1101904149896844,63.87611188148949
Germany,51.165691,10.451526,37537506,1494611,31782803,3.981647049220585,84.66945832789212
Ghana,7.9465,-1.0232,4144436,24219,3594392,0.5843738448367883,86.72813381603673
Greece,39.0742,21.8243,1064947,37639,222919,3.534354291809827,20.932403208798185
Grenada,12.1165,-61.679,4072,0,3436,0.0,84.3811394891945
Guatemala,15.7835,-90.2308,6086455,227473,4448568,3.7373643606992903,73.08963920705895
Guinea,9.9456,-9.6966,1018744,6186,832822,0.6072183001813999,81.74988024469346
Guinea-Bissau,11.8037,-15.1804,269200,3581,100817,1.3302377414561664,37.45059435364041
Guyana,4.860416000000002,-58.93018000000001,112277,4177,60946,3.7202632774299276,54.28182085378127
Haiti,18.9712,-72.2852,879451,20170,469542,2.293476270991789,53.39035375478566
Holy See,41.9029,12.4534,2160,0,1546,0.0,71.57407407407408
Honduras,15.2,-86.2419,5208692,160831,1032340,3.087742565695956,19.819563145603542
Hungary,47.1625,19.5033,1075132,93848,472561,8.728974674737614,43.95376567714476
Iceland,64.9631,-19.0208,365636,1811,323317,0.49530133794265335,88.42592086118435
India,20.593684,78.96288,294665410,5512739,220064065,1.8708470057615518,74.68269349972228
Indonesia,-0.7893,113.9213,16281434,727294,10289328,4.467014391975547,63.19669385387061
Iran,32.427908,53.68804599999999,44454546,2459001,36749593,5.531495024153435,82.66779510019066
Iraq,33.223191,43.679291,18854566,587291,13775148,3.1148476183434823,73.06001103393204
Ireland,53.1424,-7.6921,4555416,281205,3562918,6.172981786954254,78.21279110403967
Israel,31.046051,34.851612,11549927,94983,7989439,0.8223688340194704,69.17306923238561
Italy,41.87194,12.56738,45039404,6085127,29730656,13.510673897905043,66.01032287194563
Jamaica,18.1096,-77.2975,249400,3403,104834,1.364474739374499,42.03448275862069
Japan,36.204824,138.252924,6257481,171441,4824699,2.73977659700445,77.10289491889787
Jordan,31.24,36.51,310542,2465,203086,0.7937734670350548,65.39727315467795
Kazakhstan,48.0196,66.9237,9355069,110071,7350846,1.1765920700317658,78.5760746393212
Kenya,-0.0236,37.9062,2614949,47147,1409917,1.802979713944708,53.9175716237678
"Korea, South",35.90775700000001,127.766922,2931296,56193,2345053,1.917001899501108,80.00055265657238
Kosovo,42.602636,20.902977,1010283,33550,637345,3.3208516821524268,63.08578883342588
Kuwait,29.31166,47.481766,8844846,58575,7342693,0.6622500832688325,83.01662911937642
Kyrgyzstan,41.20438,74.766098,3459722,95321,2757189,2.7551635651650623,79.6939465078408
Laos,19.85627,102.495496,3691,0,2914,0.0,78.94879436467082
Latvia,56.8796,24.6032,213425,4732,152628,2.217172308773574,71.51364648002811
Lebanon,33.8547,35.8623,1377157,15636,523609,1.135382530822557,38.02100995020902
Lesotho,-29.61,28.2336,80018,2027,33335,2.533180034492239,41.65937664025594
Liberia,6.4280550000000005,-9.429499,138034,8757,88528,6.344089137458887,64.13492327977166
Libya,26.3351,17.228331,1143729,19605,405139,1.7141298332034947,35.422639453926585
Liechtenstein,47.14,9.55,17245,183,15947,1.0611771527979124,92.47318063206727
Lithuania,55.1694,23.8813,389986,12699,248978,3.2562707379239253,63.84280461349895
Luxembourg,49.8153,6.1296,995801,19829,805441,1.9912613062248383,80.8837307855686
MS Zaandam,0.0,0.0,1673,370,0,22.11595935445308,0.0
Madagascar,-18.766947,46.869107,1176723,13975,963653,1.1876201960869295,81.89293487082347
Malawi,-13.2543,34.3015,442229,12558,240533,2.8397052205983777,54.391050790427585
Malaysia,4.210483999999999,101.975766,1522415,21513,1313205,1.4130838174873475,86.2580176890007
Maldives,3.2028,73.2207,670522,2504,468412,0.3734403942003394,69.85781227163315
Mali,17.570692,-3.996166000000001,338325,16708,239505,4.9384467597724075,70.79139880292618
Malta,35.9375,14.3754,193340,1757,145988,0.9087617668356264,75.50843074376745
Mauritania,21.0079,-10.9408,686564,17372,516313,2.5302812265134786,75.20245745480392
Mauritius,-20.348404,57.552152,63236,1831,55113,2.895502561831868,87.1544689733696
Mexico,23.6345,-102.5528,54516747,5968206,43751031,10.947472709624439,80.25246077136627
Moldova,47.4116,28.3699,3647370,106530,2427646,2.920734666348629,66.55880812750009
Monaco,43.7333,7.4167,22707,608,17086,2.6775884088607036,75.24551900295063
Mongolia,46.8625,103.8467,37328,0,28884,0.0,77.37891127303901
Montenegro,42.708678000000006,19.37439,458592,8121,291064,1.7708551392087084,63.46905310166772
Morocco,31.7917,-7.0926,5438448,101012,4124143,1.8573681314963386,75.83308693950922
Mozambique,-18.665695,35.529562,351525,2275,173995,0.6471801436597682,49.497190811464336
Namibia,-22.9576,18.4904,490740,4596,268488,0.9365448098789583,54.71084484655826
Nepal,28.1667,84.25,3533290,17686,2244080,0.5005533086726535,63.51247703981275
Netherlands,21.40884,-52.99206,10430161,1041884,114041,9.989145901007664,1.0933771779745298
New Zealand,-40.9006,174.886,290722,3731,257671,1.2833566087189825,88.63140732383515
Nicaragua,12.865416,-85.207229,438323,13997,279073,3.1933072186492604,63.668345033228924
Niger,17.607789,8.081666,180749,10571,151610,5.848441761780148,83.87874898339686
Nigeria,9.082,8.6753,5143016,107621,3255995,2.092565918519406,63.30905834242009
North Macedonia,41.6086,21.7453,1397234,61585,950474,4.407636802425364,68.02539875210594
Norway,60.472,8.4689,1757502,43297,1185361,2.4635533842920236,67.44578384548069
Oman,21.512583,55.92325500000001,8377372,56971,6725946,0.6800581375639043,80.28706377131158
Pakistan,30.3753,69.3451,32621735,684121,25497868,2.097132479311723,78.16220688445908
Panama,8.538,-80.7821,8451081,182494,5558887,2.159416055768487,65.77723015552685
Papua New Guinea,-6.314993,143.95555,27009,304,14675,1.1255507423451443,54.333740604983525
Paraguay,-23.4425,-58.4438,1478463,25881,817981,1.7505341696072203,55.32644374597132
Peru,-9.19,-75.0152,60960588,2475270,41907729,4.060443117773076,68.74561150886537
Philippines,12.879721,121.774017,17006476,349472,10724204,2.054934837764155,63.05953096926136
Poland,51.9194,19.1451,7196445,255661,4781528,3.5526013191235397,66.44291730152874
Portugal,39.3999,-8.2245,7872964,269161,4623535,3.4188013561347415,58.72673874794804
Qatar,25.3548,51.1839,14305804,20311,12391804,0.1419773401061555,86.62081488044993
Romania,45.9432,24.9668,8202786,379411,4668546,4.625391909529275,56.914150875080736
Russia,61.52401,105.318756,111895180,1765822,78713374,1.5781037217152696,70.34563419085612
Rwanda,-1.9403,29.8739,310271,1247,176652,0.4019067202542294,56.93474414302335
Saint Kitts and Nevis,17.357822,-62.782998,2935,0,2418,0.0,82.38500851788756
Saint Lucia,13.9094,-60.9789,3979,0,3545,0.0,89.09273686855994
Saint Vincent and the Grenadines,12.9843,-61.2872,6782,0,5766,0.0,85.01916838690651
San Marino,43.9424,12.4578,122710,7900,86165,6.4379431179203,70.21840110830414
Sao Tome and Principe,0.1864,6.6131,106764,1954,72196,1.8302049379940806,67.6220448840433
Saudi Arabia,23.885942,45.079162,33159449,362101,27457811,1.0919994478798485,82.80538980005367
Senegal,14.4974,-14.4524,1342770,25284,909357,1.8829732567751736,67.72246922406667
Serbia,44.0165,21.0059,3427037,75280,735730,2.196649758960875,21.46839967003566
Seychelles,-4.6796,55.492,12889,0,9412,0.0,73.02350841803089
Sierra Leone,8.460555000000001,-11.779889,231593,8879,162866,3.8338809894945007,70.32423259770373
Singapore,1.2833,103.8333,7265946,4250,5977278,0.05849203943987472,82.26427776919894
Slovakia,48.669,19.699,487692,5054,300358,1.0363098020882031,61.58764138021539
Slovenia,46.1512,14.9955,404197,20259,274924,5.012159912122059,68.01732818402908
Somalia,5.152149,46.199616,430126,13419,220623,3.1197835052984475,51.29264448091955
South Africa,-30.5595,22.9375,51969517,1074469,39928748,2.0674985299555506,76.83109311945309
South Sudan,6.877000000000002,31.307,288548,5202,107021,1.8028196348614443,37.089496374953214
Spain,40.463667,-3.74922,59591451,5008271,25168775,8.404344777575561,42.235546504816604
Sri Lanka,7.873054,80.77179699999998,372174,1903,299650,0.5113199739906603,80.51341576789352
Sudan,12.8628,30.2176,1448223,89657,678182,6.190828346187017,46.828561623451634
Suriname,3.9193,-56.0278,278064,5248,217705,1.887335289717475,78.29312676218424
Sweden,60.128161,18.643501,10608279,875118,0,8.249387106051792,0.0
Switzerland,46.8182,8.2275,6571505,342815,5395883,5.2166893276349935,82.11030806489534
Syria,34.802075,38.99681500000001,193211,8538,50192,4.419003058832054,25.97781699799701
Taiwan*,23.7,121.0,88485,1309,73180,1.4793467819404418,82.70328304232356
Tajikistan,38.861,71.2761,956444,8470,756003,0.8855719728494298,79.04310132114374
Tanzania,-6.369028,34.888822,83430,3392,28990,4.06568380678413,34.74769267649527
Thailand,15.870032,100.992541,595988,10189,530227,1.7095981798291242,88.96605300777868
Timor-Leste,-8.874217,125.727539,4238,0,3790,0.0,89.42897593204341
Togo,8.6195,0.8248,138827,3405,95492,2.4526929199651364,68.78489054722785
Trinidad and Tobago,10.6918,-61.2225,145054,3102,63151,2.1385139327422893,43.53620031160809
Tunisia,33.886917,9.537499,516526,11997,224326,2.322632355389661,43.4297595861583
Turkey,38.9637,35.2433,36072475,908632,29771644,2.5189067287453937,82.53285642307604
US,40.0,-100.0,622342313,23334501,200048855,3.749464002779448,32.144504852267694
Uganda,1.373333,32.290275,294738,2315,164149,0.7854433429011529,55.693191919603166
Ukraine,48.3794,31.1656,11907419,268394,5551148,2.2540065147619313,46.61923797256148
United Arab Emirates,23.424076,53.847818,8550714,50944,6724176,0.5957865039106676,78.638766306533
United Kingdom,24.548172545454552,-43.90224236363636,50393375,6577829,245753,13.052963807246487,0.48766926208058103
Uruguay,-32.5228,-55.7658,203527,5287,164720,2.597689741410231,80.93275093722208
Uzbekistan,41.377491,64.585262,3421258,23649,2843483,0.6912369660516687,83.11220609495103
Venezuela,6.4238,-66.5897,3529610,29872,2590725,0.8463257980343437,73.39975238057463
Vietnam,14.058324,108.277199,104826,1758,79085,1.677064850323393,75.44406921946846
West Bank and Gaza,31.9522,35.2332,1845105,12827,1121512,0.6951907886001067,60.78309906482286
Western Sahara,24.2155,-12.8858,1571,130,1184,8.274984086569065,75.36600891152132
Yemen,15.552727,48.516388,196065,54785,97470,27.94226404508709,49.71310534771632
Zambia,-13.133897,27.849332,882654,20992,759714,2.378281863561486,86.07155238632579
Zimbabwe,-19.015438,29.154857,465323,12291,295814,2.6413910337550477,63.57175553325325
